Объект;Широта;Долгота
АвеларСолар - Кош-Агачская СЭС;50.020724; 88.697723
СЭС им АА Влазнева;51.269346; 58.491419
СЭС Луч 1;48.333045; 44.469025
СЭС БВС;50.371060; 106.434543
СЭС Нива;46.234004; 48.150229
СЭС Сигма Дракона;54.629119; 56.149653
СЭС Ташла;45.093631; 42.203851
СЭС Элиста Северная;46.369186; 44.318433
СЭС Красная;45.821596; 42.095905
Сан проджект - Заводская СЭС;46.399261; 48.514308
СЭС Астерион;50.038557; 46.851465
СЭС Грачевка;52.243088; 51.709958
ВЭС Тюпкильды;54.578068; 54.246946
СЭС Енотаевка;47.258280; 47.029821
СЭС Кабанская;52.004048; 106.364814
СЭС Калиновка;45.211094; 42.230236
СЭС Медведица;50.468160; 43.855360
СЭС Яшкульская 585 МВт 1 этап;45.969983; 45.474926
СЭС Яшкульская 585 МВт 2 этап;45.969983; 45.474926
СЭС Адыгейская;44.668707; 39.990595
СЭС Тарбагатай;51.477275; 107.372447
СЭС Володаровка;46.390712; 47.965075
СЭС Михайловская;52.834601; 55.976894
СЭС Шовгеновская;45.011544; 40.202098
СЭС Промстройматериалы;46.630087; 47.743451
СЭС-10Кр;44.625236; 40.766576
СЭС-11Кр;44.625236; 40.766576
СЭС-12Кр;44.625236; 40.766576
СЭС-13Кр;44.625236; 40.766576
СЭС-14Кр;44.625236; 40.766576
СЭС-15Кр;44.625236; 40.766576
СЭС-16Кр;44.625236; 40.766576
СЭС-17Кр;44.625236; 40.766576
СЭС-18Кр;44.625236; 40.766576
Усть-Коксинская СЭС 1 этап;50.421175; 85.111668
Усть-Коксинская СЭС 2 этап;50.421175; 85.111668
Усть-Коксинская СЭС 3 этап;50.421175; 85.111668
Усть-Коксинская СЭС 4 этап;50.421175; 85.111668
Южно-Сухокумская СЭС 15 МВт;44.667041; 45.633498
Балей СЭС;52.071393; 113.432357
Лукойл - Волгоградская СЭС;48.519737; 44.385034
Фортум ВЭС Ульяновска;54.310363; 48.587219
Солнеч ветер Оренбургская СЭС-5;51.270559; 58.489289
Нижняя Бурзянская СЭС;53.468344; 59.024816
Русско-Полянская СЭС 30 МВт-1;53.802101; 73.877353
Русско-Полянская СЭС 30 МВт-2;53.802101; 73.877353
Верхняя Бурзянская СЭС;53.092387; 57.403268
Ининская 2 очередь;50.486698; 86.613638
Азовская ВЭС;46.852360; 38.708355
Ининская СЭС;50.485300; 86.614455
Кольская ВЭС;68.847756; 34.811830
Наурская СЭС;43.663105; 45.333011
Песчаная СЭС;46.267224; 48.003795
Солнечный ве - Державинская СЭС;51.269834; 58.491046
Самарская СЭС  2 2 очередь;53.009510; 49.811778
Гуковская ВЭС 1 этап;48.028968; 39.920683
Каменская ВЭС 1 этап;48.153888; 40.275522
Сулинская ВЭС 1 этап;48.264419; 40.204782
Елшанская СЭС 1 очередь;51.866763; 55.344862
Ветропарк ФРВ 1;54.302094; 48.584983
Хоринская СЭС 15 МВт;52.180518; 109.810543
Гуковская ВЭС 2 этап;48.028968; 39.985872
Каменская ВЭС 2 этап;48.153751; 40.275447
Сулинская ВЭС 2 этап;48.184209; 40.304604
Елшанская СЭС 2 очередь;51.866763; 55.344862
Ветропарк ФРВ 2;48.161720; 40.226389
Гуковская ВЭС 3 этап;48.028968; 39.920683
Лиманская СЭС 30 МВт 1 этап;45.469891; 28.247993
Лиманская СЭС 30 МВт 2 этап;45.469891; 28.247993
Читинская СЭС 35 МВт - 2 этап;52.036114; 113.206298
Читинская СЭС 35 МВт;52.036114; 113.206298
Гуковская ВЭС 4 этап;48.028968; 39.985872
Торейская СЭС 45 МВт 1 этап;50.531121; 104.816020
Торейская СЭС 45 МВт 2 этап;50.531121; 104.816020
Гуковская ВЭС 5 этап;48.028968; 39.985872
Самарская СЭС-2 1 очередь;53.009225; 49.811542
Самарская СЭС-2 3 очередь;53.009225; 49.811542
Адыгейская ВЭС 1 этап;44.944646; 40.098120
Фунтовская СЭС 1;46.236372; 48.145180
Чемальская СЭС 10 МВт;51.457295; 85.977693
Адыгейская ВЭС 2 этап;44.944646; 40.098120
Фунтовская СЭС 2;46.236372; 48.145180
Адыгейская ВЭС 3 этап;44.944646; 40.098120
Фунтовская СЭС 3;46.236372; 48.145180
Черновская СЭС 35 МВт 1 этап;52.001939; 113.194939
