Период,"Выработанная энергия, кВт*ч","Температура, °C","Скорость ветра, м/с","Осадки, мм","Облачность, %","Давление, гПа","Точка росы, °C","Инсоляция, МДж/м²"
2017-03,567457,-3.6758064516129023,20.561290322580653,0.8451612903225807,59.774193548387096,1023.8,-6.383870967741936,648.9041746514055
2017-04,629625,5.753333333333334,22.809999999999995,0.9866666666666666,59.96666666666667,1017.6533333333332,-0.36999999999999994,913.2498272246354
2017-05,1308086,12.832258064516129,20.28064516129032,1.403225806451613,59.45161290322581,1013.9000000000002,3.2967741935483876,1177.4832780818163
2017-06,1229383,16.401666666666667,19.726666666666667,4.286666666666666,59.333333333333336,1007.4,10.966666666666667,1241.7087496226766
2017-07,1556492,20.846774193548388,17.46451612903226,0.7,43.935483870967744,1010.3806451612903,12.916129032258064,1228.9048686681947
2017-08,1658389,21.3,16.616129032258062,0.2903225806451613,34.16129032258065,1016.4193548387096,11.116129032258064,1029.355631886076
2017-09,994570,14.843333333333335,18.899999999999995,0.7166666666666667,58.53333333333333,1019.3466666666665,6.733333333333333,723.869171449574
2017-10,627991,5.635483870967742,18.219354838709677,1.741935483870968,77.45161290322581,1016.6774193548389,-0.3290322580645161,465.9292885155427
2017-11,206264,0.9816666666666666,16.59,1.5233333333333332,90.2,1022.0366666666667,-2.26,256.37902456348405
2017-12,184366,-6.7774193548387105,17.261290322580642,1.0322580645161292,85.41935483870968,1025.9258064516127,-9.319354838709678,185.21683837676582
2018-01,429486,-11.883870967741936,16.677419354838708,0.49032258064516127,64.51612903225806,1030.5096774193548,-14.796774193548387,229.86320025639637
2018-02,837649,-10.785714285714286,14.857142857142858,1.0071428571428571,71.78571428571429,1029.2535714285714,-13.132142857142856,353.0864438061545
2018-03,1442532,-10.298387096774192,19.945161290322584,1.303225806451613,52.87096774193548,1017.6645161290323,-13.335483870967742,648.9041746514055
2018-04,1458658,4.926666666666665,22.46666666666666,1.5500000000000003,60.3,1015.73,-0.9866666666666668,913.2498272246354
2018-06,1690902,18.351666666666667,22.526666666666664,0.7133333333333333,45.766666666666666,1009.8833333333333,6.146666666666667,1241.7087496226766
2018-07,1603338,23.393548387096775,16.683870967741935,1.2161290322580647,46.774193548387096,1011.4548387096775,13.058064516129033,1228.9048686681947
2018-08,1637363,19.74516129032258,18.035483870967738,0.4967741935483871,35.483870967741936,1014.7548387096774,10.109677419354838,1029.355631886076
2018-09,1254566,15.716666666666667,18.523333333333333,1.0133333333333334,52.1,1018.64,6.29,723.869171449574
2018-10,816714,7.579032258064516,20.316129032258072,0.8870967741935485,60.935483870967744,1019.3290322580646,1.6870967741935485,465.9292885155427
2018-11,443521,-3.5716666666666668,15.466666666666669,0.98,71.03333333333333,1028.1333333333334,-8.183333333333332,256.37902456348405
2018-12,199408,-9.540322580645162,14.729032258064517,0.8774193548387097,87.51612903225806,1028.409677419355,-11.525806451612903,185.21683837676582
2019-01,330290,-11.716129032258063,22.403225806451612,1.6548387096774195,82.19354838709677,1021.0322580645161,-14.08064516129032,229.86320025639637
2019-02,597652,-9.68392857142857,20.617857142857144,1.5607142857142855,87.75,1019.225,-11.832142857142857,353.0864438061545
2019-03,1041124,-1.5854838709677421,22.52903225806451,1.72258064516129,72.35483870967742,1014.1774193548388,-4.051612903225807,648.9041746514055
2019-04,1545763,7.038333333333335,19.273333333333333,0.7566666666666666,52.6,1019.6533333333333,-1.16,913.2498272246354
2019-05,1560173,17.285483870967738,21.332258064516132,0.9870967741935486,51.61290322580645,1015.0870967741935,5.1096774193548375,1177.4832780818163
2019-06,1717582,20.41166666666667,19.720000000000002,1.26,45.5,1014.0533333333332,8.596666666666668,1241.7087496226766
2019-07,1548698,20.13709677419355,19.664516129032254,1.8612903225806452,52.774193548387096,1006.4935483870968,11.25806451612903,1228.9048686681947
2019-08,1105628,17.933870967741935,21.064516129032263,1.432258064516129,65.83870967741936,1011.2774193548386,10.632258064516131,1029.355631886076
2019-09,1036532,10.883333333333333,17.736666666666668,1.496666666666667,56.63333333333333,1016.0433333333333,5.446666666666667,723.869171449574
2019-10,635310,8.556451612903222,21.364516129032257,1.3258064516129033,76.3225806451613,1017.9967741935484,3.0548387096774197,465.9292885155427
2019-11,300785,-1.968333333333333,16.236666666666665,0.93,71.93333333333334,1031.2433333333333,-6.233333333333334,256.37902456348405
2019-12,193873,-6.067741935483871,17.10322580645161,1.203225806451613,72.29032258064517,1018.8000000000001,-7.693548387096776,185.21683837676582
2020-01,133384,-4.358064516129032,20.787096774193547,1.6935483870967742,94.96774193548387,1015.4290322580644,-5.461290322580646,229.86320025639637
2020-02,510145,-5.272413793103448,22.044827586206896,1.5586206896551722,86.03448275862068,1014.8724137931034,-6.827586206896551,369.4152577588709
2020-03,1266661,1.6467741935483873,20.277419354838713,1.5903225806451615,63.193548387096776,1021.7161290322581,-2.616129032258064,658.5922218021722
2020-04,1347246,6.876666666666666,24.636666666666667,1.186666666666667,59.03333333333333,1010.2233333333334,-1.4200000000000002,922.0552057721549
2020-05,1648659,15.143548387096775,19.996774193548386,2.0,50.935483870967744,1013.4064516129034,5.732258064516129,1183.2522714092174
2020-06,1656390,17.93833333333333,18.73,1.4433333333333336,48.7,1015.0033333333333,9.366666666666667,1242.4782060161954
2020-07,1709410,24.63387096774193,17.09032258064516,0.15161290322580642,46.03225806451613,1011.9967741935484,12.038709677419353,1224.5228816620997
2020-08,1427806,19.204838709677418,19.729032258064514,1.7096774193548387,56.58064516129032,1009.2967741935485,10.377419354838707,1021.0655281503642
