Период,"Выработанная энергия, кВт*ч","Температура, °C","Скорость ветра, м/с","Осадки, мм","Облачность, %","Давление, гПа","Точка росы, °C","Инсоляция, МДж/м²"
2020-12,1789030,-4.725806451612903,18.099999999999998,0.7000000000000001,66.12903225806451,1032.3,-8.419354838709678,274.2109581759681
2021-01,1017485,-2.3951612903225805,19.76774193548387,1.267741935483871,88.35483870967742,1020.6,-4.635483870967741,321.56994118594866
2021-02,2321476,-2.5053571428571426,22.50714285714286,0.7214285714285715,75.21428571428571,1020.3749999999999,-8.971428571428572,436.92025367843894
2021-03,4081702,0.8564516129032257,22.53548387096774,2.7580645161290325,65.38709677419355,1017.5387096774194,-5.267741935483872,730.4098247175251
2021-04,3870683,11.133333333333335,22.319999999999997,2.06,65.23333333333333,1016.5666666666667,4.756666666666666,966.6668740924304
2021-05,6088355,19.677419354838708,24.129032258064516,1.0419354838709676,57.12903225806452,1012.7387096774191,8.98709677419355,1202.2563703835335
2021-06,5772372,24.736666666666665,20.203333333333333,1.0466666666666666,53.06666666666667,1012.1700000000002,12.56,1249.1662029657236
2021-07,6289861,27.966129032258067,18.49032258064516,0.48709677419354835,34.16129032258065,1009.9548387096773,11.554838709677417,1244.687655248029
2021-08,6593120,28.127419354838707,20.625806451612906,0.12580645161290324,37.03225806451613,1012.2193548387098,10.470967741935484,1072.744688190226
2021-09,4589641,15.759999999999998,18.533333333333328,1.1099999999999999,45.13333333333333,1016.0633333333334,7.076666666666668,794.1431609916391
2021-10,4823763,8.896774193548385,18.164516129032258,0.0935483870967742,49.29032258064516,1026.2774193548387,1.2419354838709677,555.6430705562325
2021-11,2265673,4.085,22.009999999999998,1.5799999999999998,77.1,1022.08,0.2533333333333333,345.54147332529084
2021-12,670353,-0.15806451612903236,21.00645161290323,1.929032258064516,89.51612903225806,1018.2806451612903,-2.6290322580645156,274.76979184981354
2022-01,1321739,-2.6774193548387095,24.68387096774193,2.2000000000000006,90.12903225806451,1014.1870967741936,-4.309677419354839,321.56994118594866
2022-02,2312090,2.3839285714285716,21.564285714285717,1.2535714285714286,78.57142857142857,1017.7464285714286,-0.8642857142857142,436.92025367843894
2022-03,5150367,1.3935483870967742,22.951612903225808,1.0612903225806452,64.2258064516129,1019.8709677419355,-5.180645161290322,730.4098247175251
2022-04,6255943,13.454999999999997,23.26,0.5633333333333332,63.166666666666664,1013.0800000000002,5.566666666666666,966.6668740924304
2022-05,5862211,15.037096774193552,23.84193548387097,2.0,61.29032258064516,1013.8967741935483,4.9064516129032265,1202.2563703835335
2022-06,6621422,24.08,18.566666666666666,0.010000000000000002,37.233333333333334,1011.5133333333332,8.846666666666666,1249.1662029657236
2022-07,5975335,24.51290322580645,20.95806451612903,1.1290322580645162,42.67741935483871,1010.8741935483871,12.083870967741932,1244.687655248029
2022-08,6980055,28.648387096774194,25.693548387096776,0.08064516129032258,46.29032258064516,1014.2258064516128,8.577419354838709,1072.744688190226
2022-09,4045091,17.830000000000002,22.766666666666666,2.3533333333333335,59.2,1013.3633333333335,9.88,794.1431609916391
2022-10,3759535,11.02741935483871,20.683870967741942,1.5193548387096778,68.41935483870968,1019.6258064516129,6.248387096774193,555.6430705562325
2022-11,2020117,3.6583333333333328,21.079999999999995,0.5166666666666667,78.06666666666666,1021.2733333333334,-0.14333333333333342,345.54147332529084
2022-12,1953748,-2.579032258064516,19.31612903225807,0.6741935483870969,69.64516129032258,1029.2516129032256,-6.196774193548386,274.76979184981354
2023-01,3343581,-4.114516129032258,19.870967741935488,0.6322580645161291,52.83870967741935,1029.3032258064516,-9.48709677419355,321.56994118594866
2023-02,3024933,-3.1125000000000003,21.25,0.7678571428571429,78.85714285714286,1018.9321428571428,-6.935714285714286,436.92025367843894
2023-03,4733699,7.641935483870969,22.509677419354837,1.2645161290322582,71.35483870967742,1013.7806451612903,1.696774193548387,730.4098247175251
2023-04,6460764,12.669999999999998,22.703333333333333,1.6099999999999999,66.0,1014.1466666666668,4.1933333333333325,966.6668740924304
2023-05,5971911,17.820967741935483,20.332258064516132,1.4258064516129034,66.93548387096774,1015.7580645161289,9.21290322580645,1202.2563703835335
2023-06,6543531,23.013333333333332,19.889999999999997,1.0533333333333335,59.733333333333334,1011.0033333333333,10.416666666666668,1249.1662029657236
2023-07,6915379,25.625806451612902,22.24838709677419,0.7806451612903226,41.16129032258065,1009.3129032258062,12.683870967741935,1244.687655248029
2023-08,6492834,27.111290322580643,19.64838709677419,0.16451612903225804,25.93548387096774,1012.6354838709676,10.551612903225806,1072.744688190226
2023-09,5684696,19.101666666666667,17.126666666666665,0.33999999999999997,34.53333333333333,1019.7533333333334,6.54,794.1431609916391
2023-10,3972296,11.25806451612903,22.34193548387097,1.5516129032258066,54.45161290322581,1016.2290322580645,4.590322580645162,555.6430705562325
2023-11,1716601,6.846666666666666,23.84333333333333,2.7800000000000002,81.03333333333333,1012.6800000000002,4.016666666666667,345.54147332529084
2023-12,911951,0.2951612903225805,25.183870967741935,1.3387096774193552,88.61290322580645,1018.7903225806452,-3.209677419354838,274.76979184981354
2024-01,1604737,-4.190322580645161,22.877419354838715,2.3451612903225807,82.06451612903226,1019.6548387096774,-6.548387096774196,321.56994118594866
