Период,"Выработанная энергия, кВт*ч","Температура, °C","Скорость ветра, м/с","Осадки, мм","Облачность, %","Давление, гПа","Точка росы, °C","Инсоляция, МДж/м²"
2022-01,443978,-2.8451612903225807,23.809677419354834,2.532258064516129,90.03225806451613,1013.7193548387096,-4.419354838709678,311.5121425980933
2022-02,604355,1.6839285714285714,20.525000000000002,1.2214285714285713,80.0,1017.4607142857143,-1.167857142857143,427.9174522907413
2022-03,2374478,0.9241935483870968,22.03870967741936,0.9322580645161291,64.64516129032258,1019.832258064516,-5.209677419354838,721.8420705216541
2022-04,2663555,13.483333333333333,22.126666666666665,1.1766666666666665,64.66666666666667,1012.8633333333332,5.5166666666666675,961.1856232125177
2022-05,2969356,14.88548387096774,22.41935483870968,1.8806451612903228,61.32258064516129,1013.7451612903226,4.725806451612903,1199.8201671599277
2022-06,3451505,24.259999999999998,18.62,0.10000000000000002,36.4,1011.7466666666667,9.066666666666665,1248.524075105274
2022-07,2964441,24.477419354838712,19.18387096774193,2.1032258064516127,44.58064516129032,1010.9483870967741,12.422580645161291,1243.1878371639627
2022-08,2925442,28.246774193548383,24.170967741935485,0.532258064516129,50.25806451612903,1014.8129032258064,9.258064516129032,1068.342545991377
2022-09,2026557,17.160000000000004,21.696666666666665,2.2066666666666666,63.2,1013.3633333333332,9.916666666666666,786.8155952834622
2022-10,1161117,10.917741935483871,19.887096774193544,1.7451612903225806,70.2258064516129,1019.4064516129032,6.248387096774193,546.0791222715121
2022-11,523633,3.546666666666667,19.689999999999994,0.6466666666666666,80.46666666666667,1021.1966666666667,-0.30333333333333307,335.82047611312305
2022-12,623788,-2.6951612903225803,18.33548387096774,0.7741935483870969,71.29032258064517,1029.2032258064519,-6.206451612903227,264.8629836126362
2023-01,1103575,-4.830645161290323,18.10645161290323,0.6000000000000001,52.32258064516129,1029.4548387096775,-9.709677419354838,311.5121425980933
2023-02,1289373,-3.6732142857142853,19.782142857142862,1.0107142857142857,81.60714285714286,1018.6750000000001,-7.067857142857143,427.9174522907413
2023-03,2034783,7.074193548387097,20.996774193548383,1.0838709677419358,71.06451612903226,1013.5935483870967,1.5645161290322582,721.8420705216541
2023-04,2723983,12.398333333333332,20.743333333333336,1.2833333333333334,67.73333333333333,1014.4599999999998,4.24,961.1856232125177
2023-05,2797034,17.772580645161288,19.648387096774197,1.4580645161290324,63.193548387096776,1016.009677419355,9.151612903225805,1199.8201671599277
2023-06,2924969,22.46,19.293333333333337,1.61,61.13333333333333,1011.1533333333333,10.756666666666666,1248.524075105274
2023-07,2961564,25.343548387096774,21.958064516129035,0.8032258064516129,44.193548387096776,1009.1387096774193,12.699999999999998,1243.1878371639627
2023-08,2849976,26.904838709677417,18.69677419354839,0.0903225806451613,27.29032258064516,1012.832258064516,11.183870967741935,1068.342545991377
2023-09,2441901,18.98,15.773333333333335,0.23,35.43333333333333,1020.06,7.133333333333335,786.8155952834622
2023-10,1731674,10.982258064516131,22.10645161290322,2.180645161290323,57.67741935483871,1015.8225806451613,4.558064516129031,546.0791222715121
2023-11,619081,6.438333333333333,22.806666666666665,3.263333333333333,81.1,1012.3999999999997,3.79,335.82047611312305
2023-12,378775,-0.08387096774193518,24.08064516129032,1.5935483870967742,88.7741935483871,1018.4967741935484,-3.4612903225806444,264.8629836126362
